# ATLANTIC COUNTY
Ventnor 1st Annual Food Truck Festival | Ventnor City | Sep 4-6 | Ski Beach | Sept 4 and 5: 3–9 PM; Sept 6: 3–6 PM. Multiple food trucks and live music.
Downbeach Seafood Festival | Ventnor City | Sep 19-20 | Ski Beach | Seafood and food vendors, oyster events, craft beer and live entertainment.
End of Summer Food Truck Festival | Galloway | Sep 26 | Galloway Municipal Complex | 4–8 PM. Food trucks and entertainment.

# BERGEN COUNTY
Ridgefield PBA 330 Food Truck Festival | Ridgefield | Sep 12 | Veterans Memorial Field, 554 Shaler Blvd | 11 AM–7 PM. Food-truck focused festival hosted by Ridgefield PBA Local 330.
Bergen County Fall Harvest Festival | Ridgefield Park | Sep 18-20 | Overpeck County Park | Three days of carnival rides, food trucks, a craft fair, farmers market and petting zoo.
Saddle Brook Street Fair & Craft Show | Saddle Brook | Sep 20 |  | Food vendors, live entertainment and arts & crafts.

# BURLINGTON COUNTY
Bacon, Bourbon & Brews Festival | Medford | Sep 12 | Flying W Airport | 11 AM–8 PM. Food, brews and music.
Holland Ridge Fall Flower Festival | Cream Ridge | Sep 10 - Oct 12 | Holland Ridge Farms | Runs through Oct 12. Food vendors and weekend activities at a large agricultural attraction.
Gone to the Dogs Craft Fair Family Festival | Columbus | Sep 12 |  | Food, vendors and family activities.

# CAMDEN COUNTY
Al Fresco Affair Food Truck Festival | Cherry Hill | Sep 3 | Croft Farm | 5:30–8 PM. Food trucks, beer garden and live music.
Voorhees Township Food Truck & Music Festival | Voorhees | Sep 12 | Connolly Park | 11 AM–7 PM. Food trucks and live music.
Fall Pop-Up Marketplace | Cherry Hill | Sep 18-20 |  | Food, vendors and shopping.

# CAPE MAY COUNTY
Wildwoods Food & Music Festival | Wildwood | Sep 12 | Byrne Plaza | 11 AM–7 PM. Food, live music and vendors.
Wildwoods Airshow | Wildwood | Sep 12-13 | Wildwood beachfront | Beachfront airshow with food vendors, entertainment and family activities.
Margate Fall Funfest | Margate | Sep 26-27 |  | Food trucks and vendors, arts & crafts, parades and live entertainment.
Harvest Brew Fest | Cape May | Sep 19 |  | Craft beer, food, crafts and entertainment.
Crafts & Collectibles by the Sea | Cape May | Sep 26 |  | Food, vendors and crafts by the shore.

# CUMBERLAND COUNTY
Vineland Food Truck Festival | Vineland | Sep 13 | Landis Avenue | 11 AM–7 PM. Food trucks along Landis Avenue.
Bridgeton Fall Festival | Bridgeton | Sep 26-27 |  | Food trucks, farmers market, local vendors and an apple contest.

# ESSEX COUNTY
Pet Palooza & Food Truck Festival | Livingston | Sep 19 | Livingston Gazebo, 7 Civic Center Road | Noon–6 PM. Pet-focused festival with food trucks.
Our Lady of the Lake Food Truck Festival | Verona | Sep 26 | Our Lady of the Lake Church | 11:30 AM–4:30 PM. Parish food truck festival.

# GLOUCESTER COUNTY
21st Annual Car Show & Food Truck Festival | Glassboro | Sep 4 | Downtown Glassboro | 5–9 PM. 20+ food trucks, 250–300 show cars, live music and beer gardens.
St. Anthony's Italian Festival | Glassboro | Sep 12 | Downtown Glassboro | 2–10 PM. Italian food, music and vendors.
Apple & Food Truck Festival | Sewell | Sep 12 | Duffield's Farm Market | 11 AM–5 PM. Food Truck Alley, apple picking, live music and family activities.
Pitman Fall Craft Show | Pitman | Sep 19 |  | Food trucks alongside crafters, local businesses and nonprofits.

# HUDSON COUNTY
All About Downtown Street Fair | Jersey City | Sep 19 | Newark Avenue & Grove Street | 12–8 PM. 15th annual downtown street fair — food and drink, vendors and entertainment.
Everything Flea & Collectibles Market | Kearny | Sep 13 | Frank A. Vincent Marina | Flea and collectibles market with a food and vendor component.
Fall Flea & Collectibles Show | North Bergen | Sep 19 |  | Food, vendors and shopping.

# HUNTERDON COUNTY
Frenchtown Riverfest | Frenchtown | Sep 3-6 |  | Four days of food vendors, live entertainment, arts & crafts and family activities.
Tewksbury Harvest Festival | Tewksbury | Sep 26 | Christie Hoffman Farm Park | Noon–5 PM. Sweet and savory food trucks, live bands, beer garden and harvest activities.

# MERCER COUNTY
Trenton RiverFest | Trenton | Sep 12 | Trenton Thunder Ballpark | Live music, craft beer, Delaware River activities, food vendors and the Pork Roll Eating Championship.

# MIDDLESEX COUNTY
Dunellen Fall Street Fair & Craft Show | Dunellen | Sep 13 |  | Food vendors, arts & crafts, music and family activities.
Dunellen Fall Open-Air Market | Dunellen | Sep 20 |  | Community open-air market with vendors and food.

# MONMOUTH COUNTY
BBQ & Craft Beer Festival | Oceanport | Sep 5-7 | Monmouth Park | Three days of BBQ, craft beer, live music and food vendors.
Food Trucktemberfest | Oceanport | Sep 12 | Monmouth Park | Food trucks and entertainment at Monmouth Park.
Wind & Sea Festival | Port Monmouth | Sep 19 |  | Food, coastal activities, vendors and family activities.
Festival of the Sea | Point Pleasant Beach | Sep 19 |  | Nearly 250 craft vendors, food and live entertainment — a major shore event.
Holmdel Harvest Home Festival | Holmdel | Sep 27 |  | Local vendors, food, crafts, games and entertainment.
Sea.Hear.Now Festival | Asbury Park | Sep 19-20 | Asbury Park beachfront | Major music and surf festival with large crowds and food vendors.

# MORRIS COUNTY
Riverdale Labor Day Street Fair & Food Truck Fest | Riverdale | Sep 7 | Newark Pompton Turnpike | 10 AM–5 PM. 15+ food trucks, live entertainment, vendors and kids activities.
Fall Chester Craft Show | Chester | Sep 12-13 |  | 175+ makers, food and arts & crafts.
NJ Feast of San Gennaro | Mine Hill | Sep 13 |  | Italian food, music and the traditional procession.
Vets Summer Fest | Budd Lake | Sep 13 | Vasa Park | Food trucks, live bands, beer garden and a motorcycle event.
